Cereals,Filling,Natural,Fibre,Sweet,Easy,Salt,Satisfying,Energy,Fun,Kids,Soggy,Economical,Health,Family,Calories,Plain,Crisp,Regular,Sugar,Fruit,Process,Quality,Treat,Boring,Nutritious
Weetabix,5,5,5,1,2,1,5,4,1,4,5,5,5,5,1,3,1,4,1,1,3,5,1,1,5
SpecialK,1,2,2,1,5,2,5,1,1,5,3,5,2,5,1,5,5,1,2,1,5,2,1,1,3
SpecialK,5,4,5,5,5,3,5,5,5,5,3,3,5,5,1,1,5,4,3,1,2,5,4,1,5
CMuesli,5,5,5,3,5,2,5,5,5,5,3,3,5,5,1,1,1,4,2,5,2,5,5,1,5
CornFlakes,4,5,3,2,5,2,5,4,5,5,1,5,5,3,3,1,5,3,1,1,3,5,5,1,4
RiceBubbles,4,4,4,2,5,2,5,4,5,5,1,5,4,5,3,1,5,3,2,1,3,5,5,1,4
SpecialK,4,4,3,2,5,1,5,5,5,5,1,5,5,5,3,1,5,3,2,1,3,5,5,1,4
SpecialK,4,3,3,2,5,1,5,4,4,5,1,3,4,5,2,3,4,4,1,1,2,4,2,1,3
RiceBubbles,4,3,3,2,5,1,5,4,4,5,1,3,4,5,2,3,4,4,1,1,2,4,2,1,3
CornFlakes,4,3,3,2,5,1,5,4,4,5,1,3,4,5,2,3,4,4,1,1,2,4,2,1,3
Vitabrit,4,5,4,1,5,1,5,4,1,3,3,4,4,4,3,4,1,3,1,1,3,4,1,3,4
Weetabix,4,4,3,3,5,2,4,4,1,3,2,4,4,3,3,2,2,3,3,1,3,4,2,2,4
CMuesli,4,4,4,5,5,4,4,4,3,4,1,1,3,5,4,3,3,2,4,3,3,2,3,2,3
PMuesli,4,4,4,5,5,3,4,4,2,5,1,1,3,5,4,3,4,2,4,3,3,2,3,2,3
CornFlakes,4,4,3,4,6,4,6,4,5,6,2,4,4,6,4,2,6,3,4,2,6,5,6,2,4
AllBran,3,4,5,3,5,2,3,3,2,3,2,3,4,2,2,1,2,5,2,1,4,4,3,1,4
RiceBubbles,3,2,1,3,5,2,4,2,3,5,1,5,3,5,3,3,4,1,2,1,1,4,4,1,1
NutriGrain,4,3,4,4,5,2,5,2,1,5,1,5,4,5,3,4,5,5,3,1,2,3,2,1,4
Vitabrit,5,3,4,2,5,2,5,5,2,5,3,5,5,3,2,2,2,4,1,1,3,5,1,3,5
PMuesli,3,4,3,4,5,4,5,3,3,1,4,1,3,1,5,3,3,4,5,3,5,4,3,1,3
PMuesli,4,4,4,3,5,2,5,4,2,3,3,4,4,3,3,3,2,4,4,3,3,3,2,1,3
AllBran,4,3,5,2,5,2,3,2,1,1,2,3,3,2,3,5,3,4,3,1,3,3,1,4,3
Sustain,5,5,5,3,5,1,4,5,3,1,1,1,5,3,3,1,3,3,1,3,3,5,4,1,4
CMuesli,5,4,4,3,5,1,5,5,3,5,1,3,4,4,3,1,5,4,1,4,3,4,4,1,4
SpecialK,5,5,5,4,5,1,5,5,2,3,1,3,4,4,2,2,2,4,2,3,3,4,4,1,4
Weetabix,4,4,4,3,5,2,4,4,1,4,4,4,4,4,3,4,1,3,2,1,3,4,2,3,3
Sustain,4,4,4,1,5,1,4,4,2,2,2,3,5,3,3,2,4,3,1,3,3,3,4,2,4
SpecialK,3,3,4,1,5,1,3,3,2,2,3,3,3,3,2,2,3,2,1,1,3,3,2,2,2
JustRight,3,3,3,1,5,1,4,3,2,2,2,3,4,2,3,2,3,3,1,3,2,3,3,2,4
SpecialK,3,4,3,2,5,2,3,3,2,5,1,3,3,5,2,3,4,3,2,1,3,5,3,1,3
NutriGrain,3,4,3,3,5,3,3,4,4,5,2,2,3,5,3,1,4,3,3,1,4,5,4,1,3
AllBran,5,4,5,1,5,2,5,5,2,1,1,3,5,3,2,3,4,5,2,1,3,5,2,4,5
CornFlakes,5,4,3,2,5,2,5,5,5,5,1,4,4,5,4,1,5,4,3,1,4,5,5,1,3
CMuesli,5,5,4,2,5,1,5,4,5,5,2,4,5,5,1,1,4,4,2,3,1,4,1,1,4
Sustain,4,4,4,2,5,1,5,4,5,3,4,4,5,5,1,4,3,5,1,4,1,4,1,1,4
RiceBubbles,2,4,2,1,5,2,3,3,5,5,5,3,2,5,3,2,3,1,1,1,5,3,1,2,3
NutriGrain,4,3,4,5,5,3,4,4,4,5,1,2,3,4,5,1,5,2,3,1,1,3,4,1,4
JustRight,5,4,4,4,5,3,4,4,3,4,2,1,3,5,4,1,4,2,4,3,4,3,4,1,3
Komplete,4,4,3,4,4,3,4,3,3,3,4,1,3,4,4,1,4,2,4,4,5,3,4,1,3
CornFlakes,4,5,2,3,5,2,5,3,2,5,5,4,4,5,3,5,1,3,3,1,3,3,3,1,3
Sustain,5,5,5,5,5,3,5,5,5,5,5,1,5,5,2,1,5,5,4,4,4,4,5,1,5
JustRight,5,5,3,4,5,2,5,4,3,3,3,4,5,4,4,2,3,3,2,4,3,5,3,1,4
CornFlakes,4,5,3,2,4,3,4,3,2,3,4,4,5,3,3,4,3,2,2,1,3,5,3,1,4
NutriGrain,5,4,5,2,5,2,5,5,5,5,1,5,5,4,2,3,5,5,2,1,3,4,4,1,5
Sustain,5,5,5,2,5,2,5,5,5,5,1,5,5,5,1,1,5,5,1,2,2,5,5,1,5
Vitabrit,5,5,4,2,5,2,5,5,1,4,2,3,5,3,1,2,2,4,1,1,2,5,3,3,5
SpecialK,5,4,4,3,3,2,4,4,1,2,2,2,4,2,1,1,3,2,1,1,2,3,2,2,3
Komplete,5,4,3,2,4,2,4,3,1,2,1,2,4,3,3,2,2,4,2,3,2,3,2,2,4
CMuesli,4,3,2,3,4,3,3,3,1,2,2,4,4,3,2,2,3,4,3,2,2,3,2,2,4
PMuesli,3,4,4,2,4,1,3,2,2,1,2,2,4,1,2,1,3,3,2,2,2,4,3,1,4
Komplete,3,4,4,3,4,1,3,4,2,1,3,2,4,1,2,2,3,3,2,2,2,3,2,1,4
RiceBubbles,3,4,2,1,5,1,3,2,4,5,2,4,3,5,2,3,3,2,1,1,4,3,2,4,2
CornFlakes,2,1,1,2,2,1,2,2,4,4,1,4,1,5,4,1,4,1,2,1,4,2,4,1,1
Weetabix,4,4,5,1,5,1,4,3,2,4,2,3,4,4,2,4,4,4,1,1,4,5,3,2,5
CornFlakes,2,4,3,3,5,3,4,4,2,4,2,3,3,4,3,1,4,3,4,1,5,4,3,2,3
Weetabix,4,4,4,2,5,2,5,3,3,5,3,5,5,5,1,3,2,5,2,1,1,4,2,1,4
Komplete,5,4,4,3,5,2,5,3,3,2,1,2,3,3,4,1,3,3,1,4,2,4,3,1,4
PMuesli,5,5,5,4,5,2,5,5,3,5,1,5,5,5,2,1,5,4,2,3,1,5,5,1,5
RiceBubbles,3,3,2,1,4,2,4,3,3,4,4,4,3,4,2,2,5,2,1,1,1,2,3,3,4
PMuesli,5,5,3,3,5,1,5,5,3,4,2,4,4,4,3,1,4,4,3,3,2,4,4,1,4
SpecialK,3,3,4,2,5,1,4,4,3,4,2,4,4,4,3,4,4,3,2,1,3,4,3,3,4
SpecialK,4,3,3,2,5,3,4,4,1,3,1,3,5,5,3,4,5,1,3,1,3,5,5,1,3
AllBran,3,5,5,1,5,1,3,3,1,1,1,3,5,3,1,1,5,5,3,1,3,5,3,1,5
Komplete,5,5,3,5,5,3,5,5,3,3,1,3,5,3,5,1,5,3,3,3,3,5,5,1,5
CornFlakes,4,5,4,1,5,1,4,3,1,5,3,4,4,4,3,3,4,2,1,1,1,3,2,1,3
RiceBubbles,2,4,3,1,5,1,2,2,1,4,3,3,3,4,3,3,2,2,2,1,3,3,2,3,4
Vitabrit,5,5,4,1,5,1,5,5,5,5,5,5,5,5,1,2,1,5,1,1,2,5,3,3,5
NutriGrain,5,3,3,3,5,1,5,5,5,5,1,5,4,5,1,1,5,3,1,1,3,5,5,1,5
NutriGrain,4,3,3,4,4,1,4,4,3,5,2,2,3,5,4,1,4,2,4,1,4,3,4,1,3
RiceBubbles,3,4,2,2,5,1,3,3,3,5,2,4,3,5,2,2,4,2,1,1,2,4,2,1,2
CornFlakes,4,5,4,2,5,1,4,5,2,5,3,4,5,5,1,2,3,3,1,1,3,4,3,1,4
RiceBubbles,5,5,4,2,5,1,4,4,3,5,3,4,4,5,1,3,4,3,2,1,3,4,4,1,4
Weetabix,3,3,3,2,3,3,4,4,2,5,5,4,3,5,3,3,2,4,2,1,5,3,1,3,3
Komplete,4,5,5,3,3,2,3,5,2,2,4,1,5,2,3,2,3,5,3,4,2,5,2,3,5
Komplete,2,4,4,2,2,2,4,4,3,1,2,2,4,2,2,3,2,2,2,2,2,3,2,2,4
CornFlakes,2,2,1,1,2,2,2,1,2,1,1,2,3,2,3,2,1,1,2,1,2,3,1,2,1
PMuesli,4,4,4,3,5,3,4,4,5,2,4,4,4,3,3,4,4,4,3,3,3,3,3,4,4
JustRight,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,4,3,3,3,3,3,3,3
Vitabrit,5,5,5,2,4,1,5,5,2,5,3,5,5,5,4,3,3,5,1,1,5,5,3,3,5
RiceBubbles,3,1,1,2,2,2,3,3,3,3,2,3,2,5,4,4,3,1,3,1,5,2,3,3,2
Sustain,4,4,4,2,4,2,4,4,1,3,2,3,5,4,1,1,4,1,1,4,2,4,2,1,4
JustRight,2,3,3,2,3,2,2,2,1,1,2,2,4,2,1,2,2,1,1,2,2,4,1,1,3
AllBran,3,4,4,3,4,2,3,3,1,3,2,3,3,3,2,2,3,4,2,1,5,3,2,2,3
CMuesli,3,2,2,4,4,3,3,3,1,3,2,3,3,2,4,3,3,3,4,2,5,3,2,3,3
NutriGrain,3,1,2,5,3,4,3,4,2,3,3,2,1,2,5,3,2,1,5,1,5,1,1,5,1
AllBran,5,5,5,1,1,1,5,4,1,3,1,5,5,3,2,1,2,5,1,1,4,5,3,3,4
NutriGrain,5,4,3,4,5,3,5,5,5,5,1,5,3,5,4,1,5,3,3,1,4,5,5,1,4
PMuesli,5,4,4,3,5,3,4,4,2,4,2,2,5,3,4,4,4,3,3,3,3,4,2,2,4
Vitabrit,4,4,4,2,4,2,4,4,2,4,3,4,4,2,2,3,3,2,1,1,3,4,1,2,4
